Date-Time,Latitude,Longitude,Altitude(cm),GPSSpeed(mknots),CarSpeed(Km/h),Engine(RPM),CarLoad(%),MassAir(g/s),AccelX(g),AccelY(g),AccelZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),T_OBD(ms),T_SAVE(ms),T_MAIN(ms)
6/6/2021-24:39:2.500,508610743,45271402,6900,32571,62,2424,98,76,0.0625,-0.6983,0.8301,2.66,-6.51,-2.24,23,34,58
6/6/2021-24:39:2.600,508610742,45271160,6890,33039,63,2460,98,78,-0.0010,-0.6886,0.7901,2.94,-5.18,-1.82,23,37,60
6/6/2021-24:39:2.700,508610740,45270913,6890,33521,64,2500,98,79,-0.0595,-0.6812,0.7305,0.84,-4.90,0.00,20,34,57
6/6/2021-24:39:2.800,508610737,45270665,6880,33993,64,2532,78,75,-0.0205,-0.7837,0.7159,2.03,-4.48,0.70,23,34,54
6/6/2021-24:39:2.900,508610733,45270412,6870,34643,65,2534,69,63,-0.2064,-0.7544,0.6954,-0.35,-4.97,0.77,21,32,55
6/6/2021-24:39:3.0,508610732,45270157,6870,34899,66,2587,81,69,-0.0034,-0.7745,0.6608,1.26,-7.91,-0.98,22,34,55
6/6/2021-24:39:3.100,508610728,45269900,6870,35102,66,2612,79,69,-0.2630,-0.6549,0.7139,2.24,-6.44,-1.12,23,38,60
6/6/2021-24:39:3.200,508610723,45269642,6860,35517,67,2637,77,70,-0.1259,-0.6481,0.6749,2.59,-6.23,-0.49,18,32,55
6/6/2021-24:39:3.300,508610717,45269378,6860,35884,67,2657,77,68,-0.1137,-0.6978,0.7017,1.40,-7.56,-0.98,17,34,52
6/6/2021-24:39:3.400,508610713,45269115,6850,36048,68,2687,84,71,-0.1581,-0.6734,0.7052,2.45,-7.70,-0.70,24,34,51
6/6/2021-24:39:3.500,508610707,45268848,6840,36525,69,2706,83,72,-0.0878,-0.7427,0.7725,1.33,-6.72,0.00,18,38,62
6/6/2021-24:39:3.600,508610697,45268580,6840,36789,69,2736,60,67,-0.1562,-0.7359,0.6041,2.66,-7.07,-0.42,22,34,52
6/6/2021-24:39:3.700,508610687,45268308,6840,37162,70,2706,16,61,-0.0805,-0.8335,0.6349,0.00,-7.21,-0.70,19,34,56
6/6/2021-24:39:3.800,508610677,45268035,6830,37386,70,2722,12,51,-0.0517,-0.8394,0.6456,-1.47,-8.19,-2.31,19,33,52
6/6/2021-24:39:3.900,508610665,45267762,6830,37415,70,2750,12,47,-0.1078,-0.8711,0.5129,-0.84,-8.12,-2.59,17,39,58
6/6/2021-24:39:4.0,508610652,45267490,6820,37349,69,2718,11,43,-0.1591,-0.8164,0.5856,2.59,-7.35,-1.26,23,34,51
6/6/2021-24:39:4.100,508610638,45267218,6820,37364,69,2685,7,34,-0.1908,-0.8345,0.4641,2.17,-5.32,-1.12,20,33,56
6/6/2021-24:39:4.200,508610623,45266947,6810,37310,69,2759,6,25,-0.0488,-0.8398,0.5168,1.75,-6.65,-2.10,20,34,54
6/6/2021-24:39:4.300,508610610,45266677,6810,36959,68,2684,4,27,0.0229,-0.9692,0.4421,-0.42,-5.67,-1.47,21,34,54
6/6/2021-24:39:4.400,508610593,45266410,6800,36824,67,2686,0,28,-0.1279,-0.8984,0.4568,1.75,-5.81,-1.26,21,38,59
6/6/2021-24:39:4.500,508610577,45266145,6800,36372,67,2643,0,28,-0.0639,-0.9101,0.3372,1.12,-6.58,-1.33,22,34,55
6/6/2021-24:39:4.600,508610562,45265883,6800,35913,66,2633,0,27,-0.0390,-1.0160,0.3172,1.61,-5.11,-1.47,23,34,56
6/6/2021-24:39:4.700,508610545,45265625,6790,35736,65,2596,0,26,0.1166,-0.9072,0.4109,4.06,-5.60,-1.33,21,33,56
6/6/2021-24:39:4.800,508610530,45265368,6790,35239,65,2574,0,25,-0.0981,-0.8950,0.2625,0.98,-6.23,-0.98,20,39,60
6/6/2021-24:39:4.900,508610513,45265115,6780,34807,64,2541,0,25,-0.0722,-0.9404,0.4163,1.33,-5.88,-1.54,23,34,54
6/6/2021-24:39:5.0,508610495,45264865,6780,34504,63,2515,0,24,-0.0844,-0.9296,0.3065,0.63,-5.81,-2.03,21,33,56
6/6/2021-24:39:5.100,508610480,45264617,6770,34153,62,2485,0,23,0.0327,-0.9409,0.2957,-0.35,-5.25,-1.26,19,34,55
6/6/2021-24:39:5.200,508610462,45264373,6770,33650,62,2459,0,23,-0.1366,-0.8662,0.3543,0.42,-5.39,-2.17,21,34,53
6/6/2021-24:39:5.300,508610445,45264130,6760,33448,61,2431,0,22,-0.0400,-0.9106,0.3875,2.87,-6.02,-1.96,22,38,59
6/6/2021-24:39:5.400,508610427,45263893,6760,32867,60,2400,0,21,-0.0620,-0.9443,0.4372,4.55,-5.53,-1.89,23,34,56
6/6/2021-24:39:5.500,508610410,45263657,6750,32539,59,2366,0,21,0.0625,-0.9980,0.3235,1.75,-5.18,-2.31,18,33,56
6/6/2021-24:39:5.600,508610393,45263425,6750,31988,58,2327,0,21,-0.0054,-1.1165,0.3572,2.17,-4.13,-1.96,17,34,52
6/6/2021-24:39:5.700,508610375,45263197,6740,31545,57,2291,0,20,-0.0386,-1.0765,0.3133,0.63,-5.39,-1.26,18,39,56
6/6/2021-24:39:5.800,508610358,45262972,6740,30969,56,2255,0,20,0.0405,-0.9467,0.3436,3.99,-5.04,-1.47,19,34,52
6/6/2021-24:39:5.900,508610343,45262752,6730,30408,55,2218,0,20,-0.0400,-0.9872,0.3240,1.26,-4.06,-1.96,17,34,53
6/6/2021-24:39:6.0,508610325,45262533,6730,30048,55,2185,0,25,-0.0098,-0.9243,0.3172,3.15,-3.78,-0.49,18,34,51
6/6/2021-24:39:6.100,508610310,45262320,6730,29563,54,2150,0,33,0.0639,-0.9760,0.4792,0.21,-4.48,-2.73,19,34,52
6/6/2021-24:39:6.200,508610293,45262108,6720,29102,53,2118,0,31,0.0791,-0.9467,0.3963,3.01,-4.62,-1.75,18,38,57
6/6/2021-24:39:6.300,508610277,45261902,6720,28603,52,2080,0,31,0.1020,-0.9331,0.4758,3.43,-3.15,-2.17,19,34,52
6/6/2021-24:39:6.400,508610262,45261698,6720,28071,51,2051,0,30,-0.0015,-0.9902,0.3733,3.57,-3.78,-1.96,25,33,52
